Q10334928,13304-62-6
Q1003526,298-45-3
Q10357327,116649-85-5
Q1026337,7486-40-0
Q10354103,23288-49-5
Q1054573,7758-88-5
Q1053817,471-09-0
Q10856929,3779-11-1
Q10858037,43021-26-7
Q10579342,17243-57-1
Q1061007,112-02-7
Q1078392,26807-65-8
Q10395591,85-47-2
Q1082945,68401-81-0
Q1055849,552-89-6
Q10395576,93-01-6
Q1064929,105-08-8
Q1073333,479-18-5
Q1067123,99-16-1
Q10395583,13779-41-4
Q10528966,53124-00-8
Q1042313,51364-51-3
Q1052617,77-53-2
Q1075324,94-20-2
Q1074417,4773-96-0
Q1083757,65052-63-3
Q10395590,120-18-3
Q107184,7758-98-7
Q1050019,4697-36-3
Q1075278,993-00-0
Q10812717,32607-15-1
Q1078442,643-20-9
Q1064971,13767-32-3
Q1050267,2415-24-9
Q1047397,33704-61-9
Q1048621,13776-58-4
Q10844265,4252-78-2
Q10846092,3978-81-2
Q1075492,83-72-7
Q1052672,87239-81-4
Q1041804,89371-37-9
Q105522,69-93-2
Q1050118,1039775-34-2
Q1074884,17599-81-4
Q10843651,517-18-0
Q108200,16887-00-6
Q1040678,153719-23-4
Q10853851,75088-80-1
Q1047468,57-15-8
Q10395725,9009-42-1
Q1056827,14018-82-7
Q1074408,85-48-3
Q1069880,604-32-0
Q10843743,106-14-9
Q10531024,60480-02-6
Q10395581,494-44-0
Q1069366,99393-62-1
Q1076248,3922-90-5
Q10854210,90426-22-5
Q1074415,2439-01-2
Q1054568,7790-87-6
Q1075197,127-52-6
Q1064655,7262-75-1
Q1075376,99685-96-8
Q1064919,12037-01-3
Q10844269,627-21-4
Q10541790,14013-86-6
Q1069066,476-32-4
Q10858041,2679-01-8
Q1058725,1403-36-7
Q1057705,205110-48-1
Q10858039,6379-72-2
Q10395580,1078-61-1
Q1065083,25333-77-1
Q1063862,58957-92-9
Q1074056,124-94-7
Q1082890,61717-82-6
Q10395578,506-33-2
Q10844270,6169-06-8
Q10851796,5961-59-1
Q1044248,105102-22-5
Q10489450,441-61-2
Q104334,463-79-6
Q10844268,88-09-5
Q1053114,9004-62-0
Q10423561,946414-98-8
Q1055858,10378-47-9
Q1075275,3188-13-4
Q1047617,627-19-0
Q1060922,5633-20-5
Q1082882,123-90-0
Q1082826,2371-42-8
Q1074406,65433-95-6
Q10854754,57003-86-8
Q104219,635-65-4
Q1051071,23726-91-2
Q1057745,289-31-6
Q1055852,576-26-1
Q1057786,67762-27-0
Q1076381,1404-19-9
Q10395577,92-40-0
Q1073575,81-61-8
Q10639697,77-14-5
Q1064625,122-48-5
Q10816580,178928-70-6
Q1087499,2751-09-9
Q10859697,747412-49-3
Q10878628,103-54-8
Q1087524,10049-11-3
Q10860583,107-43-7
Q10861089,80442-78-0
Q10860888,3562-74-1
Q1087509,24613-89-6
Q10860414,4706-78-9
Q10860355,116-37-0
Q10859742,115-71-9
Q10866229,102-67-0
Q10859491,139-65-1
Q10880269,13172-31-1
Q10859796,7365-82-4
Q10860475,26853-31-6
Q10859489,95-69-2
Q10861006,5103-42-4
Q10859668,6837-24-7
Q10860582,12042-78-3
Q10859790,108-53-2
Q10860567,1450-63-1
Q10860413,12331-76-9
Q10859719,314-50-1
Q10859788,524-01-6
Q10859606,3069-42-9
Q10860326,34524-78-2
Q10860420,627-83-8
Q10860794,37758-47-7
Q10859626,145-12-0
Q10859667,16357-59-8
Q10860581,1558-25-4
Q10859554,20338-08-3
Q10860679,88-30-2
Q10860261,59198-70-8
Q10869283,105-90-8
Q10859482,1225-01-0
Q10859787,1069-55-2
Q10860579,2622-14-2
Q10859661,74698-48-9
Q10878620,83270-38-6
Q10860560,68399-81-5
Q1088741,120-58-1
Q10860573,375395-33-8
Q10866600,126-11-4
Q1087514,13569-75-0
Q10878618,593-69-1
Q1089190,244261-66-3
Q10858042,102-98-7
Q10880295,513-74-6
Q1087888,147403-03-0
Q10859725,112-88-9
Q10861380,4197-25-5
Q10861060,90996-54-6
Q10859487,99745-62-7
Q10861158,17904-27-7
Q10858994,61665-15-4
Q1087521,14884-42-5
Q10878625,5413-60-5
Q10860138,319-84-6
Q10859553,110-04-3
Q1087547,493-08-3
Q10861623,13451-17-7
Q10859786,563-83-7
Q1088175,1405-20-5
Q10859673,16543-55-8
Q10859645,7418-61-3
Q10860892,58493-48-4
Q10866254,109-63-7
Q1086826,853179-44-9
Q10859059,509-80-8
Q1088474,3170-83-0
Q10860610,611-40-5
Q10859709,29536-41-2
Q10859916,14635-75-7
Q10859486,874-24-8
Q10861003,6677-99-2
Q1088845,63808-11-7
Q10869281,122-63-4
Q10861098,89592-45-0
Q10859785,3344-12-5
Q10859631,56265-06-6
Q10859493,17274-65-6
Q10869279,17511-60-3
Q10859672,87539-19-3
Q10880252,620-45-1
Q10880017,57-71-6
Q10860377,57186-25-1
Q10859529,19381-50-1
Q10859610,6577-41-9
Q10860151,12004-76-1
Q10860983,116-16-5
Q10861391,1937-54-8
Q10869280,105-68-0
Q10859037,109605-83-6
Q10861069,14813-19-5
Q10860576,17846-68-3
Q10859784,952016-59-0
Q10859671,90-30-2
Q10859530,16375-56-7
Q1089216,87532-69-2
Q1117877,1936-15-8
Q1101314,1076-43-3
Q10925174,7789-65-3
Q11024411,5870-93-9
Q1093446,20762-60-1
Q1091519,12442-63-6
Q11186403,434935-69-0
Q1096623,494-19-9
Q10967792,7101-51-1
Q11074436,1119-40-0
Q1107644,13825-86-0
Q1113346,77-66-7
Q1104480,1332-71-4
Q1111083,496-74-2
Q1104117,24274-48-4
Q1107749,41916-72-7
Q1102218,993-07-7
Q1089197,14568-19-5
Q1093153,928-94-9
Q1095009,528-92-7
Q1112374,845816-02-6
Q10950142,65-64-5
Q11109182,528-35-8
Q111812,91-64-5
Q10911195,7620-77-1
Q109454,25038-54-4
Q109674,83259-71-6
Q111213,13424-46-9
Q10911745,16903-61-0
Q1099339,180384-56-9
Q11123264,29035-18-5
Q1117888,395-28-8
Q1101325,1665-00-5
Q1100804,811-98-3
Q1104477,12015-75-7
Q10910139,50629-82-8
Q10956642,1126-48-3
Q1090054,61789-40-0
Q10910387,95975-55-6
Q10909912,58970-76-6
Q1089206,17372-87-1
Q1107689,13597-70-1
Q11072164,282089-49-0
Q1091458,12129-51-0
Q11083921,461045-17-0
Q11187541,4437-51-8
Q1101317,1693-74-9
Q10996906,7726-11-6
Q1091386,66834-24-0
Q1105900,853-34-9
Q10910504,104317-84-2
Q1107734,512-04-9
Q10942078,492451-07-7
Q1097932,14901-80-5
Q1100816,2206-27-1
Q10910637,3301-49-3
Q11186388,3848-24-6
Q1104470,1560-69-6
Q1101193,1516-08-1
Q1104521,69-81-8
Q11071947,83903-06-4
Q1092543,2687-12-9
Q1101052,10149-14-1
Q1100864,163252-36-6
Q1122598,592-88-1
Q11066026,140-26-1
Q11084938,86-78-2
Q1111585,136-72-1
Q11163063,501926-82-5
Q11129399,21159-32-0
Q1092927,12092-47-6
Q1110424,156722-18-8
Q10910403,821-42-1
Q11129393,13763-67-2
Q1110352,38227-87-1
Q1098951,503-01-5
Q1092934,28407-51-4
Q1109018,53648-55-8
Q10892263,78998-15-9
Q1097778,35212-22-7
Q1089204,95-55-6
Q1091415,3019-74-7
Q1104482,12013-10-4
Q1092542,4392-24-9
Q11129316,14075-53-7
Q1104467,544-18-3
Q11066025,659-70-1
Q11129398,19073-56-4
Q1122870,299-27-4
Q1091921,188968-51-6
Q1102163,5632-52-0
Q1091256,12033-82-8
Q1096709,13718-28-0
Q11172462,2465-56-7
Q1092675,132210-43-6
Q1101322,4472-41-7
Q1104487,12052-28-7
Q10925139,14244-62-3
Q11074437,108-55-4
Q11300469,68797-35-3
Q11644419,2051-78-7
Q1147902,57966-95-7
Q11234217,100-15-2
Q11370588,138-22-7
Q1144604,13708-79-7
Q11324593,498-95-3
Q11350933,11121-48-5
Q116073,1590-87-0
Q1139791,35599-57-6
Q11336997,105979-17-7
Q114174,90-80-2
Q1147530,3173-53-3
Q116472,81-54-9
Q115493,603-35-0
Q11324211,34441-14-0
Q1146963,372-09-8
Q11234144,101-25-7
Q1164067,83435-66-9
Q116065,38721-52-7
Q11317876,13678-68-7
Q11309641,850629-65-1
Q1143809,536-66-3
Q11350119,55123-66-5
Q1141618,623-70-1
Q115237,603-17-8
Q1123466,920-66-1
Q114603,623-08-5
Q1143803,536-60-7
Q1147307,113136-77-9
Q1154631,7791-21-1
Q1144598,129278-81-5
Q11299853,1836-77-7
Q1165293,602-41-5
Q1159221,11032-79-4
Q1144608,14696-85-6
Q11343731,801156-47-8
Q11307091,766-07-4
Q1146906,107-91-5
Q1147675,180409-60-3
Q11343729,505-10-2
Q11317706,638-17-5
Q116269,14464-46-1
Q1144615,12016-67-0
Q11307089,80-71-7
Q1147519,100-64-1
Q1147434,1191-95-3
Q11324215,59-67-6
Q115469,100-58-3
Q1147419,455-41-4
Q1147500,830-13-7
Q1158234,483-64-7
Q1147014,2636-26-2
Q1151479,542-56-3
Q11549319,18933-05-6
Q116163,540-82-9
Q11255995,104-61-0
Q1147539,108-91-8
Q1146961,105-56-6
Q1147426,1134-23-2
Q1141616,10487-71-5
Q11644408,623-17-6
Q11426176,50-24-8
Q11395726,359-37-5
Q11450699,50-50-0
Q1140703,132-57-0
Q1132748,116408-80-1
Q114391,573-58-0
Q11319317,1124-11-4
Q1143102,58240-50-9
Q1147632,22264-50-2
Q1147604,765-30-0
Q11644422,482-35-9
Q11346006,13455-28-2
Q1129509,492-11-5
Q1149099,554-57-4
Q1147281,28159-98-0
Q1144613,24311-95-3
Q11321962,828-26-2
Q112356,7798-23-4
Q11309564,544-40-1
Q11320430,765-05-9
Q114905,88441-14-9
Q1163827,103890-78-4
Q1131548,58919-61-2
Q1153847,32305-98-9
Q1141622,623-43-8
Q115740,12026-24-3
Q1142307,482-74-6
Q1147038,5637-83-2
Q1144605,13537-20-7
Q1129730,4129-84-4
Q11309584,103-50-4
Q11595687,495-61-4
Q1144687,3351-86-8
Q1135705,72559-06-9
Q1146112,517-28-2
Q11287692,10362-71-7
Q113820,111-70-6
Q1147309,456-59-7
Q1223262,77-25-8
Q11711607,219989-84-1
Q1218578,467-85-6
Q1186332,1344-08-7
Q121874,7681-11-0
Q1209408,75-54-7
Q1186872,3579-62-2
Q1226509,625-76-3
Q1209336,111-92-2
Q1225752,3984-14-3
Q1182795,214766-78-6
Q1224566,156774-35-5
Q1210263,51338-27-3
Q1225737,100-10-7
Q1176265,4439-25-2
Q121881,1308-04-9
Q1207808,142-96-1
Q1226073,865-34-9
Q1169164,73-48-3
Q11712142,2435-59-8
Q1224560,10405-27-3
Q1217936,1088-92-2
Q11713674,7617-64-3
Q11694846,4430-97-1
Q1165545,153438-49-4
Q12029435,773-76-2
Q1209407,64359-81-5
Q1225158,14357-76-7
Q1223259,629-14-1
Q1176336,4969-02-2
Q1191741,16029-98-4
Q116907,70-18-8
Q1178948,189940-24-7
Q1185280,13977-33-8
Q1175385,50-12-4
Q1207210,40431-64-9
Q1189242,14452-59-6
Q1213574,35305-13-6
Q1225152,619-01-2
Q1207807,6294-31-1
Q1209248,136-35-6
Q117422,87-28-5
Q1200841,90032-33-0
Q1176343,82517-12-2
Q1210367,80-43-3
Q12144,54-11-5
Q1226123,149961-52-4
Q11786072,156436-89-4
Q12161794,112163-33-4
Q12048733,22662-39-1
Q1209413,27137-85-5
Q1223252,2524-04-1
Q1188290,76963-41-2
Q1216264,121032-29-9
Q1168918,210631-68-8
Q11856099,124-17-4
Q1191572,1063-77-0
Q1193173,539-82-2
Q1184530,287096-87-1
Q1181878,2353-33-5
Q1169561,17560-51-9
Q121802,83-46-5
Q1208441,124-02-7
Q1223244,660-68-4
Q1187513,9005-38-3
Q1210373,84-61-7
Q120199,23110-15-8
Q1209387,79-36-7
Q1207805,136-45-8
Q11777407,4295-63-0
Q1220360,10305-76-7
Q12263499,70-25-7
Q1208433,2303-16-4
Q121430,1310-82-3
Q118033,294-41-7
Q1184988,506-78-5
Q122043,57-48-7
Q1185089,42408-82-2
Q1169059,117591-79-4
Q118040,294-62-2
Q116587,33703-08-1
Q12154496,497-24-5
Q12190,61-33-6
Q1225746,868-85-9
Q119915,539-15-1
Q1225162,1128-08-1
Q12182591,1092658-06-4
Q1179238,952-54-5
Q120384,262-76-0
Q1215575,22204-53-1
Q1187765,85-86-9
Q1225282,3445-22-5
Q1225753,1066-42-8
Q1176294,50-11-3
Q1216354,59697-14-2
Q1226658,973-21-7
Q1187179,173146-27-5
Q1183089,1948-56-7
Q118551,81103-11-9
Q118815,293-96-9
Q1281115,25561-30-2
Q1276305,443356-86-3
Q1257318,654653-81-3
Q12746349,38677-94-0
Q12912931,546-62-3
Q1236146,59995-65-2
Q1231814,19504-77-9
Q1235195,267639-76-9
Q1243800,652-67-5
Q12745351,24047-25-4
Q12747348,334476-64-1
Q127060,59-30-3
Q1227137,140-22-7
Q12747276,95999-12-5
Q12745763,829-74-3
Q1300243,94-35-9
Q1276266,13048-33-4
Q1269328,14373-91-2
Q126292,504-60-9
Q1245911,644-69-9
Q1240076,140-65-8
Q12746348,536-21-0
Q1270302,212118-77-9
Q1230269,3347-22-6
Q12751472,32988-50-4
Q1285205,26404-66-0
Q12745435,115199-84-3
Q1278807,13444-87-6
Q1227136,538-62-5
Q1248264,22756-36-1
Q12646446,93389-45-8
Q12745583,217461-40-0
Q129163,18282-10-5
Q12470029,125-79-1
Q130175,16645-08-2
Q12646459,143180-73-8
Q1253473,3094-09-5
Q12744507,478132-11-5
Q1279263,12065-10-0
Q1227228,125-53-1
Q12746290,18085-03-5
Q1268941,182431-12-5
Q1265485,363-72-4
Q12745201,97612-24-3
Q1233225,10030-78-1
Q1241582,73376-35-9
Q1241221,99-04-7
Q1266349,98886-44-3
Q12748711,10567-69-8
Q1227207,68813-55-8
Q1281120,512-61-8
Q1280339,432-68-8
Q12746853,80751-65-1
Q1281020,209783-80-2
Q12745720,135354-02-8
Q1228284,152074-97-0
Q127900,63-42-3
Q12470028,3626-55-9
Q12746295,111555-58-9
Q1232737,6621-47-2
Q1277169,114264-95-8
Q1276315,136247-72-8
Q1292703,54063-54-6
Q12747279,337962-93-3
Q1229127,29804-22-6
Q122791,112-07-2
Q1226713,1420-07-1
Q12747053,372523-75-6
Q125083,173937-91-2
Q1235921,32828-81-2
Q126625,23564-05-8
Q1280166,460738-38-9
Q1230937,13909-09-6
Q12747409,114298-18-9
Q1286435,39196-18-4
Q127300,287-27-4
Q128540,22196-48-1
Q1287920,123-19-3
Q125986,34014-18-1
Q1240692,104-32-5
Q1236526,38029-10-6
Q128381,442-51-3
Q1277175,20084-93-9
Q1240093,81093-37-0
Q12744660,138356-08-8
Q1227133,4808-22-4
Q12745593,85124-14-7
Q12831520,53004-93-6
Q12745785,97964-56-2
Q1257341,7287-19-6
Q130336,108-95-2
Q12646548,2309-49-1
Q1287838,106-35-4
Q126258,7783-63-3
Q1227317,629-19-6
Q1259458,68367-52-2
Q126657,556-88-7
Q12746116,137975-06-5
Q124686,9004-35-7
Q123195,78613-35-1
Q1310372,73532-70-4
Q135445,27519-02-4
Q1323947,68-76-8
Q1344375,10025-66-8
Q1354782,2538-85-4
Q131189,74-98-6
Q1316937,12020-60-9
Q13390100,1292765-18-4
Q134658,59-67-6
Q13564785,13241-32-2
Q13560447,68134-81-6
Q1347716,98123-83-2
Q1339032,155030-63-0
Q1312775,147-93-3
Q133594,4299-57-4
Q13423012,18483-17-5
Q1318344,25683-71-0
Q13553949,23554-81-6
Q1329492,4727-40-6
Q1310443,13813-25-7
Q13427555,100-43-6
Q13506983,1489-69-6
Q131994,91-16-7
Q133878,479-61-8
Q1313313,4119-52-2
Q1320691,552-94-3
Q13427547,95-76-1
Q1313546,13446-71-4
Q13570467,561-83-1
Q13461252,7380-39-4
Q1318776,58-22-0
Q13422964,35628-00-3
Q1317131,145733-36-4
Q1303494,130804-35-2
Q13566097,329205-68-7
Q1306078,14890-41-6
Q1303560,12137-98-3
Q13566163,174636-32-9
Q13534584,79-03-8
Q13382428,132296-12-9
Q133145,74-86-2
Q13416874,69377-81-7
Q133572,12033-56-6
Q13430503,313-67-7
Q13569061,14259-46-2
Q1346935,371163-96-1
Q1334337,181785-84-2
Q13218503,6486-05-1
Q13218585,1256258-86-2
Q1321290,109-75-1
Q13506987,2516-33-8
Q134192,106-97-8
Q13423008,12688-68-5
Q13566119,2565-01-7
Q1319162,13825-74-6
Q132416,291-70-3
Q1356722,17482-42-7
Q13427538,583-78-8
Q13570332,3244-75-5
Q1354657,865-52-1
Q13548811,7183-69-9
Q1321320,19387-91-8
Q132037,55589-62-3
Q1341604,13967-50-5
Q135270,304-21-2
Q132298,1310-58-3
Q13218264,1477-39-0
Q13427524,104-49-4
Q130365,83-88-5
Q134148,13595-82-9
Q13427537,602-01-7
Q132428,18480-07-4
Q13439316,149877-41-8
Q135068,17019-01-1
Q1311179,10045-86-0
Q1326389,9014-67-9
Q1312764,12410-14-9
Q1310878,55196-46-8
Q1324057,53746-46-6
Q133662,25474-92-4
Q13566125,102993-22-6
Q13506985,6746-94-7
Q132501,56-81-5
Q13358991,7291-22-7
Q1346746,165800-04-4
Q13423006,17534-15-5
Q13567664,13463-28-0
Q13427523,2425-79-8
Q133767,14457-64-8
Q132442,1320-06-5
Q132621,51-43-4
Q13415380,87691-91-6
Q1315183,283594-90-1
Q13382061,132296-20-9
Q133761,13517-00-5
Q13438697,622-79-7
Q13423013,543-75-9
Q1321843,27314-13-2
Q1355196,136426-54-5
Q13506984,6542-60-5
Q14201168,34300-94-2
Q14035816,19120-01-5
Q14200355,70563-58-5
Q139350,434-16-2
Q13640590,2037-26-5
Q139307,19356-17-3
Q1399337,58306-30-2
Q1398857,13453-30-0
Q13826872,15513-69-6
Q138742,123-39-7
Q1407366,89-32-7
Q1401484,67747-09-5
Q13896593,12035-72-2
Q1402834,2641-89-6
Q13848921,25639-42-3
Q1408017,19879-06-2
Q137648,28950-34-7
Q140289,10597-89-4
Q1368877,141-12-8
Q1371468,93-18-5
Q139001,40013-87-4
Q139347,67-97-0
Q13640574,1186-52-3
Q13640587,2031-90-5
Q1419323,3497-00-5
Q1408602,13775-06-9
Q13575264,123663-49-0
Q1397045,106560-14-9
Q138227,12042-91-0
Q1368869,3681-71-8
Q1371500,109-92-2
Q1385138,121776-33-8
Q1371667,2593-15-9
Q139200,50-14-6
Q13640581,21666-38-6
Q1404581,13356-08-6
Q1392795,10192-29-7
Q13574436,1143503-69-8
Q1409243,70775-75-6
Q14201166,17021-26-0
Q14035814,415952-70-4
Q1422618,121-47-1
Q14200353,154802-96-7
Q139295,71204-89-2
Q13640579,33838-52-7
Q1385311,226700-79-4
Q14174835,15520-84-0
Q139195,32222-06-3
Q138339,3625-25-0
Q14035668,639-86-1
Q13724855,870721-81-6
Q1416224,26658-19-5
Q1404580,120928-09-8
Q13578067,3569-29-7
Q13721478,15163-24-3
Q137147,7228-78-6
Q1371246,749251-98-7
Q1399406,3102-00-9
Q138673,78-50-2
Q13847605,13849-08-6
Q1419713,2140-77-4
Q13640572,2206-26-0
Q139857,110-17-8
Q13722016,14055-81-3
Q13582207,16037-50-6
Q137220,643-84-5
Q138809,7790-93-4
Q13923477,981-15-7
Q1361951,13709-42-7
Q139160,65928-58-7
Q13636695,239110-15-7
Q14035818,100438-92-4
Q139299,1173-13-3
Q13872172,135-88-6
Q14035812,18524-67-9
Q139199,121-44-8
Q141180,59-02-9
Q13573069,2813-95-8
Q1403365,100-59-4
Q137532,16727-30-3
Q14035740,3131-03-1
Q1418767,109-53-5
Q1386050,147116-64-1
Q137253,30113-37-2
Q1371478,2807-30-9
Q138145,85166-31-0
Q1413823,9005-66-7
Q1407959,14768-11-7
Q1421936,29462-18-8
Q13896859,1374853-91-4
Q1371651,153233-91-1
Q139085,3604-87-3
Q13634859,20193-56-0
Q13640576,2679-89-2
Q1377105,10031-54-6
Q1366419,55127-57-6
Q14075651,183675-82-3
Q139883,556-27-4
Q1408061,28048-33-1
Q13640583,17252-77-6
Q1444906,13983-20-5
Q144917,24937-78-8
Q14305118,87915-42-2
Q1452256,23672-07-3
Q146578,9003-35-4
Q143200,7487-94-7
Q1463401,6902-77-8
Q1430444,174514-07-9
Q145445,24968-12-5
Q146393,24937-79-9
Q14584726,83926-73-2
Q1439344,763903-67-9
Q1427452,475-71-8
Q144893,25038-71-5
Q146403,24981-14-4
Q1430329,142-59-6
Q14745306,821-95-4
Q1474820,65907-30-4
Q146429,9003-55-8
Q1460502,33434-63-8
Q14523666,481-20-9
Q1478199,86-80-6
Q143937,184963-09-5
Q1446811,14900-04-0
Q1440263,141790-23-0
Q14664567,501925-31-1
Q14773521,22750-57-8
Q145052,151319-34-5
Q145897,9003-35-4
Q14605026,202833-07-6
Q146415,9003-54-7
Q146123,9011-14-7
Q142880,56-03-1
Q1430589,142459-58-3
Q1434425,76674-21-0
Q145863,25038-59-9
Q146243,9003-53-6
Q14325507,7757-86-0
Q1439555,92118-27-9
Q14664566,161417-03-4
Q145057,19437-20-8
Q1434379,106917-52-6
Q14469782,614-45-9
Q14762162,14055-75-5
Q143252,9002-84-0
Q1429870,3315-16-0
Q1427742,201038-74-6
Q1465337,81-90-3
Q1453445,91832-40-5
Q147101,59277-89-3
Q1434179,359-06-8
Q143429,9002-88-4
Q1434245,59756-60-4
Q1434399,117337-19-6
Q1445465,941-55-9
Q144085,2062-78-4
Q14605217,1020748-57-5
Q14715593,28434-00-6
Q1434160,103361-09-7
Q145768,61128-46-9
Q14584703,470-67-7
Q146383,9002-85-1
Q146368,9002-86-2
Q1426422,123955-10-2
Q14757784,591-97-9
Q14566721,946578-00-3
Q142871,7488-99-5
Q1452081,524-30-1
Q14521816,23132-17-4
Q143914,26007-43-2
Q1438667,79-55-0
Q1452045,13813-24-6
Q146354,9003-20-7
Q1439361,194798-83-9
Q146075,139110-80-8
Q14804408,151-38-2
Q146339,9002-89-5
Q1482984,91-66-7
Q1484092,89-67-8
Q14521943,56689-43-1
Q1470932,69004-03-1
Q145526,9002-83-9
Q1474922,13445-60-8
Q143263,57-87-4
Q1435627,160369-77-7
Q146139,9002-81-7
Q144362,275-51-4
Q14625376,87818-31-3
Q143289,77-81-6
Q143496,9003-56-9
Q146218,26125-40-6
Q14478566,4861-19-2
Q14664569,252870-53-4
Q14513942,68129-81-7
Q146174,9003-07-0
Q1430580,70124-77-5
Q1428304,54363-90-5
Q1473876,13818-73-0
Q143874,9004-70-0
Q145246,9003-18-3
Q15220829,108214-28-4
Q15269680,926037-48-1
Q150788,629-50-5
Q15088017,476-67-5
Q15118238,15474-63-2
Q14850809,406-90-6
Q15269693,495399-09-2
Q1525050,22910-60-7
Q15149723,656247-17-5
Q151733,71-41-0
Q15269678,760937-92-6
Q15051328,74517-78-5
Q15046879,14405-43-7
Q15116845,865318-97-4
Q151313,74-85-1
Q15060216,996-98-5
Q15147831,933-21-1
Q15040821,13569-80-7
Q1523448,13842-80-3
Q15098649,3118-97-6
Q151446,74-99-7
Q15041214,62952-06-1
Q15141591,13997-93-8
Q150925,112-95-8
Q14853448,3622-84-2
Q151082,630-04-6
Q15124168,64022-27-1
Q1501184,4663-93-8
Q1490748,1125-21-9
Q15142590,40423-14-1
Q14850344,110488-70-5
Q15269671,80003-64-1
Q150681,111-65-9
Q15069049,16924-03-1
Q150694,111-84-2
Q150440,110-54-3
Q150911,629-92-5
Q14943806,7783-59-7
Q149413,94-74-6
Q14853089,587-98-4
Q150717,124-18-5
Q15228129,479-91-4
Q14982,67-56-1
Q148946,120-36-5
Q15023366,12018-95-0
Q1490706,40817-08-1
Q151038,630-03-5
Q15116137,14456-48-5
Q151324,115-07-1
Q1500283,24079-72-9
Q150831,629-62-9
Q15253773,226715-59-9
Q15239768,498-94-2
Q15041645,38665-01-9
Q1490905,72573-82-1
Q150731,1120-21-4
Q151058,638-68-6
Q15051261,172152-36-2
Q150744,112-40-3
Q15211075,66-75-1
Q15142952,21308-80-5
Q151410,872-05-9
Q1485208,106083-71-0
Q151398,124-11-8
Q150808,629-59-4
Q1490162,603-11-2
Q15130904,17475-67-1
Q151797,78-83-1
Q15124603,5202-78-8
Q15269682,739366-20-2
Q148937,25057-89-0
Q150429,109-66-0
Q1500226,26548-70-9
Q150843,544-76-3
Q15269695,481-18-5
Q14956810,13765-25-8
Q15046450,15790-91-7
Q150508,103729-96-0
Q149452,93-65-2
Q14848739,86-57-7
Q1519339,125116-23-6
Q14965231,14077-39-5
Q15043328,493-09-4
Q1501665,3343-15-5
Q15069517,73560-00-6
Q15113508,569-26-6
Q14985,71-23-8
Q15269704,18830-99-4
Q15090829,141517-21-7
Q15051950,3253-60-9
Q14949467,157232-64-9
Q15124607,28408-65-3
Q150988,646-31-1
Q151007,629-99-2
Q150668,142-82-5
Q15269711,470-40-6
Q1491165,3682-15-3
Q15269699,714272-27-2
Q150900,593-45-3
Q150888,629-78-7
Q15408413,681492-22-8
Q15303927,689-13-4
Q15409361,3321-80-0
Q15391928,536-59-4
Q15409346,1399049-60-5
Q15405284,1354631-81-4
Q15408420,1224095-98-0
Q15311877,556-56-9
Q15277,73-24-5
Q15408405,13425-39-3
Q1530103,15435-77-5
Q15408418,1025097-10-2
Q15405291,1445566-01-7
Q15274561,19130-96-2
Q15409366,5055-20-9
Q15366704,54-91-1
